Node X Y 
1 0.0 0.0
2 5.7735 0.0 
3 2.8867 5.0 
4 -2.8868 5.0 
5 -5.7735 0.0 
6 -2.8867 -5.0 
7 2.8868 -5.0 
8 8.6603 5.0 
9 0.0 10.0 
10 -8.6603 5.0 
11 -8.6603 -5.0 
12 0.0 -10.0 
13 8.6603 -5.0 
14 5.3405 0.75 
15 3.3198 4.25 
16 6.4952 -1.25 
17 7.2169 -2.5 
18 7.9386 -3.75 
19 6.4952 1.25 
20 7.2169 2.5 
21 7.9386 3.75 
22 2.0207 5.0 
23 -2.0207 5.0 
24 4.3301 5.0 
25 5.7735 5.0 
26 7.2169 5.0 
27 2.1651 6.25 
28 1.4434 7.5 
29 0.7217 8.75 
30 -3.3198 4.25 
31 -5.3405 0.75 
32 -2.1651 6.25 
33 -1.4434 7.5 
34 -0.7217 8.75 
35 -4.3301 5.0 
36 -5.7735 5.0 
37 -7.2169 5.0 
38 -5.3405 -0.75 
39 -3.3198 -4.25 
40 -6.4952 1.25 
41 -7.2169 2.5 
42 -7.9386 3.75 
43 -6.4952 -1.25 
44 -7.2169 -2.5 
45 -7.9386 -3.75 
46 -2.0207 -5.0 
47 2.0207 -5.0 
48 -4.3301 -5.0 
49 -5.7735 -5.0 
50 -7.2169 -5.0 
51 -2.1651 -6.25 
52 -1.4434 -7.5 
53 -0.7217 -8.75 
54 3.3198 -4.25 
55 5.3405 -0.75 
56 2.1651 -6.25 
57 1.4434 -7.5 
58 0.7217 -8.75 
59 4.3301 -5.0 
60 5.7735 -5.0 
61 7.2169 -5.0 
62 7.2169 0.0 
63 3.6084 6.25 
64 -3.6084 6.25 
65 -7.2169 0.0 
66 -3.6084 -6.25 
67 3.6084 -6.25 
68 10.8253 6.25 
69 0.0 12.5 
70 -10.8253 6.25 
71 -10.8253 -6.25 
72 0.0 -12.5 
73 10.8253 -6.25 
74 6.6756 0.9375 
75 4.1497 5.3125 
76 8.119 -1.5625 
77 9.0211 -3.125 
78 9.9232 -4.6875 
79 8.119 1.5625 
80 9.0211 3.125 
81 9.9232 4.6875 
82 2.5259 6.25 
83 -2.5259 6.25 
84 5.4127 6.25 
85 7.2169 6.25 
86 9.0211 6.25 
87 2.7063 7.8125 
88 1.8042 9.375 
89 0.9021 10.9375 
90 -4.1497 5.3125 
91 -6.6756 0.9375 
92 -2.7063 7.8125
93 -1.8042 9.375 
94 -0.9021 10.9375 
95 -5.4127 6.25 
96 -7.2169 6.25 
97 -9.0211 6.25 
98 -6.6756 -0.9375 
99 -4.1497 -5.3125 
100 -8.119 1.5625 
